City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.41,broken clouds,-0.6,73.0833,Scoop Guest House
4,Victoria,HK,85.32,clear sky,22.2855,114.1577,Mini Central
5,Carnarvon,AU,65.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Kutum,SD,80.19,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
8,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
9,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Grand Gaube,MU,66.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
11,Vaini,TO,69.96,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Rikitea,PF,72.86,clear sky,-23.1203,-134.9692,People ThankYou
15,Mahebourg,MU,66.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
21,Cidreira,BR,63.07,clear sky,-30.1811,-50.2056,Hotel Castelo
22,Ust-Tarka,RU,65.93,broken clouds,55.5672,75.705,Pearl of Siberia
24,Marienburg,PL,60.12,clear sky,54.0359,19.0266,Hotel Centrum Malbork
25,Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,Le four à pain
28,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
29,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Anito,PH,77.38,broken clouds,12.4497,125.2886,El Felix Cottages
31,Katsuura,JP,80.46,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
33,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
36,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
42,Sampit,ID,72.75,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
44,Castro,BR,66.38,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Atuona,PF,77.09,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
46,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
47,Arraial Do Cabo,BR,69.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Chuy,UY,63.95,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
52,Trelew,AR,64.99,overcast clouds,-43.249,-65.3051,Hotel Touring Club
54,Jamestown,US,77.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,Kapaa,US,81.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Butaritari,KI,81.93,clear sky,3.0707,172.7902,Isles Sunset Lodge
58,Torbay,CA,79.88,scattered clouds,47.6666,-52.7314,Gallows Cove
60,General Roca,AR,70.56,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
63,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
64,Port Blair,IN,81.63,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
65,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
66,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
68,Amuntai,ID,71.56,few clouds,-2.4177,115.2494,Hotel Balqis
74,Saldanha,ZA,66.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
76,Winsum,NL,65.1,clear sky,53.33,6.5208,Tuinhuis
78,Preobrazheniye,RU,60.12,clear sky,42.9019,133.9064,Campsite Orlan
79,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,North Bend,US,62.17,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
86,Tambura,SS,68.4,overcast clouds,5.6,27.4667,Rikito Lodge
87,Antalaha,MG,65.89,clear sky,-14.9003,50.2788,Hotel Vitasoa
88,Pangkalanbuun,ID,73.6,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
91,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
93,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
95,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
96,Hualmay,PE,66.36,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
97,Buala,SB,78.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
99,Kiunga,PG,72.37,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
100,Kozyatyn,UA,63.03,broken clouds,49.7143,28.8339,"Hotelʹ ""Iryna"""
102,Upata,VE,86.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
103,Sedro-Woolley,US,86.14,clear sky,48.5039,-122.2361,Natural Resources Department
104,Kawalu,ID,72.05,overcast clouds,-7.3817,108.2082,West Jontor
105,Tezu,IN,75.58,overcast clouds,27.9167,96.1667,Circuit House
108,Ko Samui,TH,83.73,overcast clouds,9.5357,99.9357,The Passage
109,Muroto,JP,82.11,heavy intensity rain,33.2833,134.15,Oota Ryokan
110,Drayton Valley,CA,74.86,broken clouds,53.2168,-114.9854,Service Plus Inns & Suites (Drayton Valley Hotel)
112,Flin Flon,CA,69.64,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
116,Acarau,BR,84.36,clear sky,-2.8856,-40.12,castelo pizzaria
117,Bambous Virieux,MU,66.22,few clouds,-20.3428,57.7575,Casa Tia Villa
121,Manggar,ID,79.34,broken clouds,-2.8833,108.2667,Guest Hotel
124,Ruhengeri,RW,60.58,light rain,-1.4998,29.635,Relay's Gorillas Hotel
126,Hobyo,SO,75.97,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
129,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
130,High Level,CA,68.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
133,Erzurum,TR,62.28,clear sky,40.0,41.5,Saksi Koyu Muhtarligi
137,Nailon,PH,80.6,overcast clouds,11.0521,124.0385,Acrige Apartelle
140,Teguise,ES,73.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
142,Havre-Saint-Pierre,CA,68.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
145,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
146,Enderby,GB,64.58,clear sky,52.5878,-1.2062,Leicester Marriott Hotel
153,Banamba,ML,77.0,scattered clouds,13.55,-7.45,Kassela de Banamba
155,Port-Cartier,CA,64.62,moderate rain,50.0334,-66.8654,Le Q'Artier
157,Volchikha,RU,62.47,clear sky,52.0333,80.3833,Gostinitsa
158,Benguela,AO,69.42,broken clouds,-12.5763,13.4055,Hotel Praia Morena
159,Bandarbeyla,SO,76.95,overcast clouds,9.4942,50.8122,JABIR HOTEL
160,Trincomalee,LK,78.8,moderate rain,8.5711,81.2335,Welcombe Hotel
161,Sola,VU,78.58,overcast clouds,-13.8833,167.55,Leumerus Bungalows
166,Oktyabrskoye,RU,69.35,clear sky,43.0645,44.7417,Prolesok Mini-hotel
167,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
169,Machico,PT,76.01,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
170,Vao,NC,70.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
173,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
174,Balkanabat,TM,86.4,clear sky,39.5108,54.3671,Nebitchi Hotel
176,Kavaratti,IN,79.54,moderate rain,10.5669,72.642,Green leaf
177,Aksu,CN,71.53,clear sky,41.1231,80.2644,Pudong Holiday Hotel
179,Horta,PT,76.64,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
180,Renningen,DE,65.28,broken clouds,48.7667,8.9333,Hotel-Restaurant Zur Eisenbahn
181,Portel,BR,87.26,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
185,Liure,HN,83.79,broken clouds,13.5358,-87.0919,"Barreal Centro, Orocuina Choluteca HN"
186,Kulhudhuffushi,MV,77.34,overcast clouds,6.6221,73.07,Haajy Guest House 1
187,Dingle,PH,76.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
188,Sanandaj,IR,71.62,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
189,Tena,EC,80.76,few clouds,-0.9833,-77.8167,Hostal Tena Ñaui
190,Dapaong,TG,76.3,light rain,10.8639,0.205,Hotel Caroli
194,Villa Florida,PY,83.86,clear sky,-26.3833,-57.15,Parador Hotel Touring y Automóvil Club Paraguayo
195,Los Llanos De Aridane,ES,69.55,drizzle,28.6585,-17.9182,Valle Aridane
199,Ignacio De La Llave,MX,88.61,overcast clouds,18.7167,-95.9833,Hotel Valeria
200,Mount Isa,AU,69.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
202,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
206,Hami,CN,74.05,overcast clouds,42.8,93.45,Laoyutang Resort
208,Cape Town,ZA,67.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
210,Praia Da Vitoria,PT,76.75,broken clouds,38.7333,-27.0667,Hotel Branco I
213,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
215,Pontian Kecil,MY,75.52,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
217,Moncao,PT,73.53,overcast clouds,42.0789,-8.4808,Hotel Bienestar Termas de Monção
218,Zihuatanejo,MX,89.69,broken clouds,17.6333,-101.55,La Casa Que Canta
219,Souillac,MU,64.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
220,Sao Joao Da Barra,BR,71.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
221,San Pedro,PH,79.83,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
222,Kalmunai,LK,77.16,moderate rain,7.4167,81.8167,VS Villa
223,Morant Bay,JM,89.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
224,Aklavik,CA,62.98,clear sky,68.2191,-135.0107,Aklavik Inn
226,Korla,CN,72.81,clear sky,41.7597,86.1469,Gulisitan Hotel
227,La Cruz,MX,84.87,overcast clouds,23.9167,-106.9,Jesús angel
228,Ixtapa,MX,89.22,broken clouds,20.7,-105.2,hotel la terminal
231,Asyut,EG,87.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
233,Aubenas,FR,75.45,broken clouds,44.6201,4.3899,ibis Aubenas
234,Pankrushikha,RU,63.19,scattered clouds,53.8319,80.3406,"Гостиница ""Уют"""
236,Semme,FR,73.81,overcast clouds,46.1963,1.5007,Inter-Hotel Alexia
237,Bouar,CF,66.49,moderate rain,5.934,15.596,Motel de l'UNITE
