City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,35.44,76,100,7.27,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,81.41,73,79,13.98,broken clouds
2,Barrow,US,71.2906,-156.7887,39.22,93,100,19.57,mist
3,Puerto Quijarro,BO,-17.7833,-57.7667,101.03,15,5,5.59,clear sky
4,Victoria,HK,22.2855,114.1577,85.32,86,2,5.01,clear sky
5,Carnarvon,AU,-24.8667,113.6333,65.57,45,2,19.35,clear sky
6,Kutum,SD,14.2,24.6667,80.19,45,99,4.97,light rain
7,Mataura,NZ,-46.1927,168.8643,45.55,91,73,2.13,broken clouds
8,Salalah,OM,17.0151,54.0924,77.09,88,20,2.3,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,91,11.01,overcast clouds
10,Grand Gaube,MU,-20.0064,57.6608,66.38,78,8,8.99,clear sky
11,Vaini,TO,-21.2,-175.2,69.96,83,20,5.75,few clouds
12,Rikitea,PF,-23.1203,-134.9692,72.86,79,0,4.07,clear sky
13,Ukiah,US,39.1502,-123.2078,98.37,29,0,3.44,clear sky
14,Juneau,US,58.3019,-134.4197,57.2,89,100,3.44,light rain
15,Mahebourg,MU,-20.4081,57.7,66.25,88,20,8.05,few clouds
16,Kwekwe,ZW,-18.9281,29.8149,57.72,71,0,11.72,clear sky
17,Cayenne,GF,4.9333,-52.3333,87.84,70,40,8.05,scattered clouds
18,Ahipara,NZ,-35.1667,173.1667,50.86,81,100,4.61,overcast clouds
19,Tuatapere,NZ,-46.1333,167.6833,49.28,96,89,3.71,overcast clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,92.17,51,75,6.91,broken clouds
21,Cidreira,BR,-30.1811,-50.2056,63.07,74,0,15.99,clear sky
22,Ust-Tarka,RU,55.5672,75.705,65.93,51,52,8.77,broken clouds
23,Esperance,AU,-33.8667,121.9,51.22,82,20,6.42,few clouds
24,Marienburg,PL,54.0359,19.0266,60.12,70,7,6.13,clear sky
25,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,23,2.01,few clouds
26,Bluff,NZ,-46.6,168.3333,51.78,89,100,5.59,overcast clouds
27,Wangqing,CN,43.3218,129.7634,54.77,93,6,1.66,light rain
28,Meulaboh,ID,4.1363,96.1285,75.78,91,100,5.77,overcast clouds
29,Hilo,US,19.7297,-155.09,83.28,77,75,6.91,broken clouds
30,Anito,PH,12.4497,125.2886,77.38,90,67,4.03,broken clouds
31,Katsuura,JP,35.1333,140.3,80.46,88,19,17.09,few clouds
32,Yellowknife,CA,62.456,-114.3525,57.72,82,75,11.5,broken clouds
33,Camacha,PT,33.0833,-16.3333,69.22,73,40,9.22,scattered clouds
34,Nikolskoye,RU,59.7035,30.7861,48.09,95,100,10.98,moderate rain
35,Khatanga,RU,71.9667,102.5,39.36,89,100,17.43,overcast clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,60.82,50,0,14.0,clear sky
37,Georgetown,MY,5.4112,100.3354,83.89,87,20,5.75,few clouds
38,Qaanaaq,GL,77.484,-69.3632,35.87,65,0,3.8,clear sky
39,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,72,20,8.05,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,44.71,70,100,6.91,overcast clouds
41,Busselton,AU,-33.65,115.3333,47.98,79,0,10.67,clear sky
42,Sampit,ID,-2.5333,112.95,72.75,97,68,1.97,broken clouds
43,Ushuaia,AR,-54.8,-68.3,49.62,61,75,10.36,broken clouds
44,Castro,BR,-24.7911,-50.0119,66.38,55,1,7.16,clear sky
45,Atuona,PF,-9.8,-139.0333,77.09,70,0,23.69,clear sky
46,Naze,JP,28.3667,129.4833,81.52,84,46,15.73,scattered clouds
47,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,56,20,17.27,few clouds
48,Chuy,UY,-33.6971,-53.4616,63.95,65,96,7.81,overcast clouds
49,Peterhead,GB,57.5058,-1.7981,54.45,73,0,4.85,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,55.06,62,0,12.41,clear sky
51,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,29,0,18.41,clear sky
52,Trelew,AR,-43.249,-65.3051,64.99,24,100,3.6,overcast clouds
53,Klaksvik,FO,62.2266,-6.589,52.72,88,13,17.49,few clouds
54,Jamestown,US,42.097,-79.2353,77.02,43,75,19.57,broken clouds
55,Bichena,ET,10.45,38.2,53.35,83,19,4.7,light rain
56,Kapaa,US,22.0752,-159.319,81.12,70,40,11.5,scattered clouds
57,Butaritari,KI,3.0707,172.7902,81.93,76,7,19.35,clear sky
58,Torbay,CA,47.6666,-52.7314,79.88,64,40,17.27,scattered clouds
59,Yuancheng,CN,36.652,107.7896,61.63,49,9,3.53,clear sky
60,General Roca,AR,-39.0333,-67.5833,70.56,20,91,5.39,overcast clouds
61,New Norfolk,AU,-42.7826,147.0587,51.93,72,72,1.01,light rain
62,Albany,US,42.6001,-73.9662,78.94,49,3,1.01,clear sky
63,Ponta Do Sol,PT,32.6667,-17.1,76.01,75,100,7.83,overcast clouds
64,Port Blair,IN,11.6667,92.75,81.63,81,100,7.29,overcast clouds
65,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,5.75,few clouds
66,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,14.97,scattered clouds
67,Whitehorse,CA,60.7161,-135.0538,57.09,56,75,8.05,broken clouds
68,Amuntai,ID,-2.4177,115.2494,71.56,99,21,0.78,few clouds
69,Talnakh,RU,69.4865,88.3972,34.21,82,15,3.89,few clouds
70,Hobart,AU,-42.8794,147.3294,51.66,78,40,11.5,scattered clouds
71,Constitucion,CL,-35.3333,-72.4167,54.55,81,100,8.21,overcast clouds
72,Haines Junction,CA,60.7522,-137.5108,57.15,51,11,3.44,few clouds
73,Dikson,RU,73.5069,80.5464,41.67,87,78,12.86,broken clouds
74,Saldanha,ZA,-33.0117,17.9442,66.25,44,49,10.42,scattered clouds
75,Yar-Sale,RU,66.8333,70.8333,41.59,80,69,8.5,broken clouds
76,Winsum,NL,53.33,6.5208,65.1,72,7,14.79,clear sky
77,Tasiilaq,GL,65.6145,-37.6368,42.96,93,100,5.5,overcast clouds
78,Preobrazheniye,RU,42.9019,133.9064,60.12,89,0,5.35,clear sky
79,Bengkulu,ID,-3.8004,102.2655,75.4,92,95,5.68,overcast clouds
80,Batagay,RU,67.6333,134.6333,46.47,84,100,2.26,overcast clouds
81,Saskylakh,RU,71.9167,114.0833,39.96,95,100,13.27,overcast clouds
82,East London,ZA,-33.0153,27.9116,58.96,62,0,15.01,clear sky
83,North Bend,US,43.4065,-124.2243,62.17,100,48,6.87,scattered clouds
84,Linxia,CN,35.6003,103.2064,52.45,74,23,3.22,few clouds
85,Port Alfred,ZA,-33.5906,26.891,54.18,81,0,1.01,clear sky
86,Tambura,SS,5.6,27.4667,68.4,97,100,2.91,overcast clouds
87,Antalaha,MG,-14.9003,50.2788,65.89,88,9,3.71,clear sky
88,Pangkalanbuun,ID,-2.6833,111.6167,73.6,98,45,2.37,scattered clouds
89,Pearl,US,32.2746,-90.132,93.09,62,40,8.05,scattered clouds
90,Taoudenni,ML,22.6783,-3.9836,105.19,14,23,8.99,few clouds
91,Avarua,CK,-21.2078,-159.775,78.85,83,75,6.91,broken clouds
92,Serra Branca,BR,-6.5333,-38.2667,89.2,28,48,15.79,scattered clouds
93,Praya,CV,14.9215,-23.5087,79.34,89,75,3.44,broken clouds
94,Fandriana,MG,-20.2333,47.3833,52.36,55,2,1.61,clear sky
95,Komsomolskiy,UZ,40.4272,71.7189,70.52,49,1,6.91,clear sky
96,Hualmay,PE,-11.0964,-77.6139,66.36,69,7,13.56,clear sky
97,Buala,SB,-8.145,159.5921,78.58,86,94,9.06,light rain
98,Geraldton,AU,-28.7667,114.6,52.21,71,0,14.97,clear sky
99,Kiunga,PG,-6.1219,141.2906,72.37,100,100,1.34,overcast clouds
100,Kozyatyn,UA,49.7143,28.8339,63.03,53,83,6.29,broken clouds
101,Hovd,MN,48.0056,91.6419,58.84,35,13,3.98,few clouds
102,Upata,VE,8.0086,-62.3989,86.2,82,100,1.39,overcast clouds
103,Sedro-Woolley,US,48.5039,-122.2361,86.14,67,0,1.01,clear sky
104,Kawalu,ID,-7.3817,108.2082,72.05,97,100,1.48,overcast clouds
105,Tezu,IN,27.9167,96.1667,75.58,95,100,2.1,overcast clouds
106,Sao Bernardo,BR,-3.3614,-42.4178,97.02,25,73,4.65,broken clouds
107,Lensk,RU,60.7253,114.9278,40.28,98,100,2.77,overcast clouds
108,Ko Samui,TH,9.5357,99.9357,83.73,71,100,1.21,overcast clouds
109,Muroto,JP,33.2833,134.15,82.11,83,100,8.32,heavy intensity rain
110,Drayton Valley,CA,53.2168,-114.9854,74.86,55,77,6.8,broken clouds
111,Provideniya,RU,64.3833,-173.3,46.9,98,100,6.49,moderate rain
112,Flin Flon,CA,54.7682,-101.865,69.64,64,20,2.3,few clouds
113,Ulaangom,MN,49.9811,92.0667,58.69,44,88,4.27,overcast clouds
114,Okhotsk,RU,59.3833,143.3,52.48,94,13,6.96,few clouds
115,Upernavik,GL,72.7868,-56.1549,40.17,89,100,22.24,overcast clouds
116,Acarau,BR,-2.8856,-40.12,84.36,56,8,18.84,clear sky
117,Bambous Virieux,MU,-20.3428,57.7575,66.22,88,20,8.05,few clouds
118,Kaitangata,NZ,-46.2817,169.8464,44.83,91,8,4.21,clear sky
119,Kodiak,US,57.79,-152.4072,54.91,88,100,9.22,light rain
120,Cherskiy,RU,68.75,161.3,37.08,90,100,4.43,overcast clouds
121,Manggar,ID,-2.8833,108.2667,79.34,84,63,7.09,broken clouds
122,Rio Gallegos,AR,-51.6226,-69.2181,55.45,30,0,14.97,clear sky
123,Bodaybo,RU,57.8506,114.1933,38.7,99,100,4.05,moderate rain
124,Ruhengeri,RW,-1.4998,29.635,60.58,92,100,2.44,light rain
125,Ancud,CL,-41.8697,-73.8203,47.23,73,100,8.21,overcast clouds
126,Hobyo,SO,5.3505,48.5268,75.97,86,49,21.65,scattered clouds
127,Narsaq,GL,60.9167,-46.05,53.82,46,3,2.08,clear sky
128,Los Angeles,US,34.0522,-118.2437,110.8,40,0,9.22,clear sky
129,Porto Novo,BJ,6.4965,2.6036,78.62,86,98,8.3,overcast clouds
130,High Level,CA,58.5169,-117.136,68.11,42,75,6.91,broken clouds
131,Uzunovo,RU,54.5386,38.6173,56.64,73,0,7.92,clear sky
132,Dana Point,US,33.467,-117.6981,111.42,57,0,5.99,clear sky
133,Erzurum,TR,40.0,41.5,62.28,22,5,4.76,clear sky
134,Turukhansk,RU,65.8167,87.9833,36.88,96,90,6.02,overcast clouds
135,Clyde River,CA,70.4692,-68.5914,41.23,75,0,10.36,clear sky
136,Urusha,RU,54.05,122.9,35.76,76,97,2.59,overcast clouds
137,Nailon,PH,11.0521,124.0385,80.6,82,100,5.5,overcast clouds
138,Port Macquarie,AU,-31.4333,152.9167,48.88,90,1,5.66,clear sky
139,Tiksi,RU,71.6872,128.8694,39.52,96,59,6.67,broken clouds
140,Teguise,ES,29.0605,-13.564,73.62,78,20,16.11,few clouds
141,Ulladulla,AU,-35.35,150.4667,50.77,93,31,4.54,scattered clouds
142,Havre-Saint-Pierre,CA,50.2334,-63.5986,68.36,83,100,8.05,overcast clouds
143,Sitka,US,57.0531,-135.33,57.09,88,40,0.0,scattered clouds
144,Bulgan,MN,48.8125,103.5347,48.29,80,9,2.71,clear sky
145,Kathmandu,NP,27.7167,85.3167,71.82,94,75,4.61,broken clouds
146,Enderby,GB,52.5878,-1.2062,64.58,71,0,12.06,clear sky
147,Linjiang,CN,41.8069,126.9078,53.38,95,1,1.16,clear sky
148,Voyinka,UA,45.8699,33.9914,78.69,50,36,4.88,scattered clouds
149,Port Augusta,AU,-32.5,137.7667,46.92,75,13,7.23,few clouds
150,Sokolo,ML,14.7328,-6.1219,77.43,74,99,0.4,overcast clouds
151,Stornoway,GB,58.2093,-6.3865,57.16,77,28,3.44,scattered clouds
152,Temyasovo,RU,52.9933,58.1014,63.48,39,13,5.01,few clouds
153,Banamba,ML,13.55,-7.45,77.0,73,35,2.86,scattered clouds
154,Paamiut,GL,61.994,-49.6678,41.58,75,2,18.07,clear sky
155,Port-Cartier,CA,50.0334,-66.8654,64.62,99,100,4.85,moderate rain
156,Surgut,RU,61.25,73.4167,48.38,81,0,11.18,clear sky
157,Volchikha,RU,52.0333,80.3833,62.47,63,9,6.31,clear sky
158,Benguela,AO,-12.5763,13.4055,69.42,84,64,3.58,broken clouds
159,Bandarbeyla,SO,9.4942,50.8122,76.95,81,100,24.29,overcast clouds
160,Trincomalee,LK,8.5711,81.2335,78.8,81,100,18.01,moderate rain
161,Sola,VU,-13.8833,167.55,78.58,77,100,23.09,overcast clouds
162,Hermanus,ZA,-34.4187,19.2345,57.24,51,5,14.52,clear sky
163,Lebu,CL,-37.6167,-73.65,53.64,77,8,10.51,clear sky
164,Troitsko-Pechorsk,RU,62.7084,56.1964,43.72,74,99,7.63,overcast clouds
165,Madona,LV,56.8533,26.217,49.35,69,100,6.93,overcast clouds
166,Oktyabrskoye,RU,43.0645,44.7417,69.35,78,0,6.71,clear sky
167,Saint-Pierre,RE,-21.3393,55.4781,67.91,75,0,5.75,clear sky
168,Poshekhonye,RU,58.4993,39.1353,52.21,83,100,15.86,overcast clouds
169,Machico,PT,32.7,-16.7667,76.01,78,40,14.97,scattered clouds
170,Vao,NC,-22.6667,167.4833,70.72,67,99,16.02,overcast clouds
171,Longyearbyen,SJ,78.2186,15.6401,39.04,75,20,2.3,few clouds
172,Port Elizabeth,ZA,-33.918,25.5701,59.29,75,20,16.11,few clouds
173,Kahului,US,20.8947,-156.47,77.85,79,40,13.8,scattered clouds
174,Balkanabat,TM,39.5108,54.3671,86.4,19,0,2.59,clear sky
175,Arkadelphia,US,34.1209,-93.0538,93.97,58,100,3.65,overcast clouds
176,Kavaratti,IN,10.5669,72.642,79.54,85,100,21.83,moderate rain
177,Aksu,CN,41.1231,80.2644,71.53,37,0,4.41,clear sky
178,Ville-Marie,CA,47.3335,-79.433,57.74,59,96,13.06,overcast clouds
